Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
137770.48,-0.499374,-1.31487,-2.009418,2.093448,-1.229603,-1.761477,1.048929,-0.817599,0.067584,1.400212,0.689501,0.845003,1.059207,-1.492499,-0.589217,-0.392761,0.177597,1.978016,-0.174827,-1.831819,-1.457311,1.624715,-1.953472,-0.075905,-0.248628,0.28452,0.189039,1.370862,22.88,0
78651.92,-0.386507,-1.691127,-0.170725,0.425131,0.256536,-1.215582,-0.43319,1.211564,0.562069,-0.26745,-0.017462,-0.941598,0.886785,-0.877059,0.656673,0.111206,0.084253,-0.130346,-0.553177,-0.311655,-0.696373,1.238416,-0.099693,0.738095,0.108748,0.683951,0.503044,0.214248,31.6,0
98741.75,-0.311784,0.066586,0.306652,0.603608,0.186654,-0.344944,1.157574,-0.590118,-1.967407,-2.192649,-0.361366,0.866177,0.811106,0.395211,2.785548,-0.654491,1.128816,-0.303972,-0.135862,0.713445,1.475786,0.30971,-1.877518,-0.276654,0.265577,-1.32461,0.018071,1.382823,7.05,0
103547.63,-1.421349,-1.119186,1.08887,-0.278078,-2.151815,-0.437513,-0.459362,-0.296435,0.534461,-0.969663,0.913418,0.234837,-1.132507,-0.475698,0.331105,0.081453,0.486378,-0.608652,0.403268,-0.44855,2.491327,-1.489829,2.838008,-0.895087,1.284886,0.679827,-1.155451,0.664194,54.96,0
146568.03,-0.323314,-1.12666,-0.0542,0.599266,-0.607926,-0.112818,0.241616,2.701419,-0.468171,0.365033,0.45228,-0.242771,0.212999,-2.012529,1.101019,1.702414,-0.232324,-0.178245,-1.221331,-1.096082,0.976478,-0.071018,0.403726,1.026736,0.27654,-0.808936,-0.249863,1.450179,49.2,0
139078.12,-0.795909,1.258215,1.466805,-1.368356,2.052141,-0.732507,-0.350094,-3.364755,-0.532952,-0.91549,0.260148,-0.420762,-1.255498,-0.674433,-0.251411,2.490211,-1.083283,0.967032,-1.974478,1.665064,-0.007087,2.015425,1.889805,-1.15215,0.161235,-1.464668,-0.705209,1.128236,10.31,0
113221.03,-0.042232,0.566934,-0.518947,-0.918471,0.427499,-0.903346,0.668759,-0.081424,-0.396155,1.780606,-0.681481,-0.994075,-0.12696,-0.155288,0.326935,-0.130783,-0.179628,-0.933424,0.482387,0.121124,1.636281,-1.739652,0.33533,1.972753,0.436376,-0.932069,-0.598832,-0.453945,7.83,0
66124.03,0.005584,-0.68883,1.081812,-0.097085,-0.285476,2.065238,-1.281977,-0.850308,-1.541597,-0.74717,-0.518496,-0.580391,0.539397,2.12436,0.979685,-0.129188,-0.576657,0.638913,-0.512995,0.940665,-0.025211,0.010461,0.115382,0.687778,0.946588,-0.732866,1.304316,-1.317741,1.97,0
22959.01,-0.173022,-0.996562,-0.716272,0.009375,-1.500339,-0.164908,2.386283,-0.051349,1.024149,-0.43419,-1.772502,-0.564294,0.336082,0.717992,0.344123,-1.817372,-0.003493,0.207916,1.552033,0.58022,-1.542498,-1.788294,0.633968,-0.195362,-1.825966,1.492934,0.319723,1.046283,17.55,0
123294.31,-1.717161,0.447518,-0.862041,-0.49253,-0.618246,-0.134774,-0.010304,-0.927152,-0.092788,1.893426,-1.075738,1.169543,-0.180723,1.920257,-0.836757,2.002611,-0.618591,-0.005087,0.823412,0.165222,-0.810821,1.582564,0.952021,0.426565,0.816578,2.557847,1.473249,0.324331,26.37,0
42167.24,3.117794,0.789367,-0.512325,0.958162,1.500058,0.533671,0.559291,-0.285741,0.856058,1.050115,-0.312682,-0.678623,-0.090886,-0.699604,0.579275,-2.340981,0.292823,0.702278,-1.325527,1.048545,-0.317487,-0.25628,2.657675,0.51445,-1.060102,1.059414,1.971856,1.157906,40.79,0
105647.39,0.261604,0.166224,0.316578,-0.589994,0.680147,0.525516,-0.144016,1.175751,0.346005,2.129443,-0.344297,-1.168596,0.964827,-0.489306,0.582742,1.995084,-0.186109,0.430078,1.417356,1.208964,0.167273,-0.267339,-0.421892,-1.738655,-0.819251,0.865456,-0.309859,-0.839427,60.21,0
80855.02,2.136814,0.476583,0.190574,-0.308912,-0.838112,1.026052,-0.399563,0.736863,-1.150281,1.56302,0.883141,-0.066213,0.412129,0.677075,-1.469049,1.731198,0.485115,-0.5153,-1.121125,0.63184,-0.050576,0.622131,0.03872,-0.91695,0.573025,-0.396717,-0.052638,2.43804,14.56,0
43494.43,-0.783276,0.202812,-0.494777,-0.095663,-1.33859,0.809823,-0.313627,-0.859698,1.789121,0.355168,-0.882483,-1.357949,-0.573905,-0.525714,-1.347349,-0.554136,1.654265,-0.33654,-0.668768,-0.095848,-1.502557,-0.736899,0.31947,-1.974567,-0.117382,-0.500162,-0.921067,0.849742,65.61,0
35912.89,1.25877,-0.827795,-1.686338,1.682727,0.46683,-1.825063,0.686385,-1.470948,0.325325,0.370585,-0.688883,-0.845348,-1.636099,-0.450444,0.013979,1.529505,0.619568,0.656757,0.945397,-0.620284,-0.080698,2.305023,0.407812,0.222046,-0.867822,-0.721705,-0.590166,0.358085,9.64,0
91845.69,0.443434,0.520989,-0.11237,0.801073,0.265041,1.349972,-1.116738,0.095152,-0.51134,-0.218021,0.425547,-1.329682,-0.046382,1.307389,-0.366352,-0.449579,0.997802,-0.195878,-0.330092,0.522164,-2.084967,0.364798,-1.433364,2.113819,1.217495,-0.339868,-0.235899,-0.778658,7.53,0
76046.54,0.990723,0.633011,-1.920101,0.850194,0.688974,-1.43132,-0.519021,1.345908,-1.866582,1.337054,1.726494,-0.72331,-1.108093,-0.450133,0.02626,-0.745018,0.422752,1.210885,0.126692,1.816479,-0.163571,0.839754,-0.792145,0.414275,0.890498,-0.524824,0.799714,0.397527,7.51,0
148776.43,-1.165321,1.890609,-0.661758,-0.088074,0.194191,-1.343721,0.63848,0.470666,-0.106938,1.061089,0.310307,-0.250544,0.821394,1.007843,-0.254311,-1.552556,0.189891,1.157282,0.686508,0.544329,-0.688315,-1.034468,-1.338429,-0.84287,0.223482,-1.19411,-0.348464,-1.016318,24.63,0
113715.26,-1.764167,1.731932,0.542705,-0.967782,0.131753,-0.184599,-1.937211,0.705666,1.117684,-0.570118,-0.396526,0.012885,-0.466226,0.199053,0.575622,0.34952,-2.221229,1.120868,0.993179,1.018244,-0.482088,-0.376181,0.131545,-1.142108,0.926656,0.59422,0.340303,1.004048,4.33,0
19760.34,-0.207668,0.03924,0.262793,-0.444638,0.976868,0.116208,-1.369484,-0.208454,-0.052719,2.745429,0.476272,0.277415,-1.272767,1.076001,1.430393,-0.443771,0.961505,-1.405556,2.053292,-0.952766,-0.075852,0.185501,-0.715761,-0.147835,0.394429,-0.038942,-0.565342,-1.447824,17.32,0
92528.32,-0.022769,0.12619,0.293045,-1.743792,-0.279916,0.47573,-0.138813,-0.494126,-1.389814,-1.024206,-0.954224,-1.639172,-0.166529,-1.889214,-0.788727,-0.016674,1.573603,0.394322,0.318735,-0.708211,-0.696033,-0.262232,-0.028589,-1.300088,0.789874,-0.044068,1.759291,-0.973401,42.04,0
29140.88,-0.637934,0.276304,2.028113,-0.219663,0.023947,-0.475831,-0.918404,0.638672,-1.636874,-0.92686,2.062861,-1.374851,-2.218523,-0.509702,-0.573756,0.557771,-1.883161,-0.495325,-0.076687,-1.126882,-0.057929,-1.56717,-1.017233,1.441526,0.943259,-0.017212,-0.916721,-0.664568,16.3,0
63903.31,-1.845562,0.398251,-0.076477,-0.647759,1.803561,1.128028,-3.189823,0.615429,-0.348713,-0.340434,1.032506,-0.050756,-0.434697,-1.284224,-0.01811,-0.245067,0.527816,0.278839,2.21663,-0.562484,-0.855685,0.781434,-0.641757,-1.108629,-1.112173,1.650956,-0.458589,0.114985,63.63,0
121424.05,-0.613563,0.689735,-0.927325,-0.739871,-0.402273,0.397538,-0.300189,-0.40755,-0.390314,0.247706,1.339399,1.341786,-1.111186,-0.174142,0.894334,1.744426,-1.079293,-0.058064,0.980695,-0.357445,-0.382783,-0.683062,0.242729,-0.140484,0.366489,-0.433426,1.454007,0.436544,56.04,0
119890.12,-1.177778,-1.578369,0.422878,-0.203711,-0.280477,-0.134229,0.938533,2.719438,-0.962769,0.055938,-0.585188,1.009864,-1.753618,0.500609,-1.243682,0.177796,0.86072,0.184831,0.261698,1.127223,0.991943,1.232665,-2.111481,-1.093284,1.068974,-0.045721,-0.75198,-0.631632,42.83,0
69291.14,1.059199,0.020771,-0.731015,-0.303657,2.092788,1.066093,-1.800612,-0.154214,-0.460047,0.558461,-1.436296,1.831388,-1.418533,0.226206,0.726956,0.625423,0.368721,0.653827,-1.146499,0.370666,2.000513,1.153551,-0.534843,-0.468902,-1.50464,-0.768519,-0.612917,2.133449,13.1,0
99752.29,-0.487066,-2.34395,-0.124181,-0.762623,0.523007,-0.512708,1.76515,1.626673,0.483734,-0.972241,0.364853,0.843521,-0.448321,-1.926129,3.775658,0.349305,-1.42765,-0.873882,0.415405,-0.917921,-1.030585,0.395913,-0.097371,-1.029021,0.582474,1.19838,-1.808641,-0.033009,185.03,0
13881.5,0.314002,0.67596,1.223773,0.283026,-1.450584,0.91438,-0.635617,-0.638354,0.838897,0.647066,0.131547,2.260538,-0.917957,-1.733718,1.02658,1.174774,0.510265,-0.198063,-0.871055,1.452653,-0.276773,-0.717227,0.134927,-1.450319,-0.883256,0.856395,0.823761,0.479637,23.96,0
97619.94,0.829464,0.23389,2.455645,0.639783,-1.592268,0.794863,0.451528,1.247726,1.089075,1.032583,0.120058,0.263793,0.141126,-0.174541,0.393557,0.708214,0.729282,1.525087,-2.03447,0.350844,0.402076,-1.601464,3.972827,-0.396809,-0.029275,0.033997,-2.38222,0.465124,42.89,0
98175.24,-2.291109,1.601986,-0.45156,1.497006,-1.174726,0.109847,0.351291,-0.937619,0.54132,0.382643,3.351078,0.658916,-0.257579,0.009628,1.201891,0.018228,-0.216066,-1.023689,1.740593,-0.453402,-1.070531,0.671389,0.12834,-0.514817,0.13175,-0.980602,0.910417,-0.3739,115.74,0
68302.04,-0.979667,-0.411453,-2.064182,1.441141,1.033959,1.570399,-0.796633,-1.022683,-1.421132,0.827639,2.40588,1.591195,2.22639,0.576153,-0.538723,-1.891738,1.43442,1.045473,0.976119,0.447635,-0.201646,0.322703,0.479755,-1.119673,-1.808473,1.741379,-1.994126,1.73329,19.16,0
106604.52,-1.90114,0.608367,1.029977,-0.650425,0.174178,-0.735089,1.520517,-1.454037,0.355463,-1.521063,0.396652,0.452801,0.012867,0.414225,0.823753,0.917513,-2.006605,-0.514823,0.224891,-2.924595,-0.158359,0.601088,1.70875,-0.787658,-1.403962,-0.174834,1.44425,0.0119,2.0,0
73980.23,0.822159,0.144206,1.6633,0.634292,1.645992,-0.343492,-0.282194,-1.008383,0.298656,-1.448633,1.383641,-1.671773,-0.068216,-0.738161,-0.841928,0.074203,1.890911,0.463988,-0.591508,-1.97368,-0.528338,-1.905262,1.809947,0.277911,1.964943,0.885455,-1.717386,-0.978092,41.4,0
4271.14,1.327891,0.707945,-1.039291,-0.994831,-1.074705,-0.572767,1.660874,0.705584,-0.837832,1.116676,0.098543,2.705923,-0.6967,1.227366,-1.553602,-1.80216,-0.246874,-1.361958,-1.381269,-0.193349,-0.158664,-0.071287,-0.862273,-0.179975,-1.046948,-0.269395,-2.133558,1.294112,99.11,0
73409.87,1.649062,1.980873,-0.596653,1.225027,0.859305,1.143587,-0.665274,-0.124344,2.125187,0.474724,-0.297411,0.336126,-0.712922,0.147917,-0.179752,0.813778,1.546334,1.755473,0.556512,0.301405,0.303468,-1.384892,0.395205,-0.294908,-0.593065,1.502344,0.820071,-0.546791,5.98,0
157729.94,0.03069,-1.126372,1.219282,0.594946,0.339352,-1.325393,0.382154,-0.134691,0.410055,0.582423,-0.375634,1.998064,-0.41211,-0.095094,-1.794086,0.725061,0.666603,0.277724,-0.14661,-0.161718,2.112174,0.495061,-0.000974,0.068709,0.585771,-0.012244,-0.969088,1.2741,9.94,0
51938.96,0.235617,0.965877,0.684518,1.526141,0.025037,0.401107,-0.065831,-0.25437,-1.452705,1.421388,-0.965301,0.344472,0.415507,0.432615,-0.393697,1.892957,-1.965057,-0.728197,-1.301688,-2.523406,-0.848868,-0.588951,0.465373,1.85405,-1.245707,-0.443522,-1.952667,0.714188,4.27,0
126734.25,-0.009482,-0.112058,-0.55474,-0.613802,0.604975,0.837266,-1.572707,2.029451,1.080839,-0.137847,0.843692,-0.376594,-0.70537,0.138647,-1.197484,-1.339004,-3.03552,0.744944,0.756667,1.104833,0.601795,0.627545,0.242906,-0.490121,-0.335206,-0.699572,0.913917,0.005616,14.26,0
47237.24,0.803976,-1.661062,0.360236,0.618253,-0.044924,-0.494568,1.550098,0.856318,0.018586,-0.037831,0.241046,0.966443,-0.821436,-0.178916,-0.732173,1.612467,0.762074,2.856801,0.731731,1.829115,-0.980855,-0.747452,2.409961,-0.448811,0.893243,0.242544,0.631951,0.445948,23.49,0
165404.84,-1.168822,0.625215,-0.87265,-1.115978,-0.906061,-0.25376,-0.312631,0.042569,-0.68066,-1.188281,0.51951,-0.915117,-0.694542,1.157441,0.244171,-0.023845,-1.475308,1.984527,-0.904003,-1.109006,-1.135954,0.964379,-0.715737,0.836185,-0.092813,0.319109,-0.26592,0.123678,23.06,0
33678.03,-1.413193,0.391773,1.842719,-0.784749,-0.597489,-2.784781,0.577261,1.111627,-1.652109,0.326348,1.919494,-1.183404,1.284404,-0.636666,-1.86439,-0.857482,0.929374,0.256504,-0.262669,1.129543,0.902913,0.265993,-0.533753,1.414821,-0.282924,-0.437384,-0.455602,-0.813229,4.63,0
17511.03,-1.988336,-0.858244,-1.720948,2.202541,-1.362963,1.717444,-0.745546,-0.771776,0.40629,0.156279,-1.169093,0.598619,1.130796,1.989762,-0.87841,0.444034,0.095544,-0.498515,-0.962755,0.846781,-0.300993,-0.513962,0.17162,1.647289,0.010837,0.40107,-0.689589,-0.744059,14.99,0
35796.58,-1.277497,-0.695045,-0.562004,1.549548,0.703032,-1.85253,-0.481093,-0.827584,-0.097528,2.371944,-0.259144,-0.504933,-1.20465,0.672205,-0.056061,-0.969183,0.687951,-0.621016,-0.545408,-1.194502,-1.694505,0.843094,0.217666,0.140912,-0.276015,-0.361096,-0.011022,0.753782,16.87,0
110826.81,0.102099,1.715906,-2.073879,0.734413,-1.387402,-0.103108,-0.043948,1.669027,0.285869,0.797064,-1.759815,-1.145463,-0.662455,-1.188534,0.308626,-2.504094,0.456775,-0.950228,0.777958,-0.311855,1.045608,0.304292,0.072726,0.208702,0.091358,-0.725998,-1.217991,0.293054,29.27,0
157224.7,1.694923,0.141602,0.466063,-0.960218,0.07523,0.758,-0.775191,-0.784172,-0.049455,-1.113579,0.547306,0.00541,0.040158,-0.113784,-0.522583,0.389611,-0.030626,-0.147591,-0.508391,-0.357,2.328695,2.018758,0.885768,-1.462491,-0.146421,0.642554,-3.00738,0.853511,41.54,0
149433.3,-0.245868,-0.062822,0.296193,-1.119565,-0.546619,0.640444,-0.13673,1.126835,-0.653633,1.438109,0.638781,0.17051,-0.216846,-3.043395,-0.356536,-1.234301,-0.715874,-0.104035,-0.23421,-2.264592,-0.906048,0.423719,0.009229,0.262277,-0.163016,0.865997,0.116631,-0.016176,2.53,0
4420.08,-1.580861,0.77691,1.735348,-0.563472,-1.110245,-0.191279,-0.724652,-0.280234,0.401367,-0.465311,1.097391,-0.136891,-1.802918,0.392013,-0.577134,-0.521003,-0.59132,1.201115,0.683162,-0.544981,-0.855492,0.469845,-0.782312,-0.205642,-0.830519,-0.224214,-1.360127,-0.766843,59.01,0
3393.7,0.537643,-0.839843,0.269042,-1.406351,0.030438,1.583984,-0.366557,0.182976,0.24391,-0.951088,0.474661,-0.638259,1.299868,0.345737,-0.899076,0.302624,-0.192183,-0.877128,0.827245,-1.002591,0.97971,-1.26661,-1.943824,-0.612917,0.503889,0.032679,-1.901244,0.144253,17.31,0
168971.9,0.626828,-0.006404,-0.477708,0.736365,1.153208,0.755954,0.282999,0.523634,0.291599,0.144051,-0.89925,1.023148,-0.351334,0.700048,-0.560195,0.999864,1.287259,-0.473304,-0.225363,-0.572103,-1.045238,1.058494,2.816269,-0.123209,1.614477,2.056579,-1.669947,0.156945,8.9,0
71018.13,-1.93115,0.840845,-1.341373,0.721791,-0.466482,-1.325795,0.967761,-0.036145,0.059683,-2.351852,-0.789924,0.915045,0.095745,-0.928476,0.191414,-0.806929,0.445865,-1.057277,0.241161,-0.273984,-0.055802,-0.735405,0.953872,-0.309958,-0.397482,-1.150941,-1.030446,0.307243,53.29,0
30510.48,-0.768839,0.24764,1.291784,0.612959,-0.590136,1.607684,-0.630511,0.05677,2.468583,-0.37906,-0.013132,0.480518,-1.049102,1.002573,0.369323,0.596626,-0.150957,-1.103203,0.711509,1.478487,-0.806027,0.029754,1.156535,-0.443242,-0.099218,0.333612,-0.364074,0.77497,25.75,0
3282.32,-1.16813,-0.429374,0.044573,-0.151069,-0.532131,-1.553733,-0.670156,-0.927834,1.695153,2.05514,0.198606,-1.343227,0.333936,-0.830131,-0.550691,-0.471397,-0.36327,-0.139935,-1.086211,-0.575269,1.009431,-0.082763,0.208463,-2.438021,0.888265,-0.75132,0.999568,-0.102559,27.09,0
78898.03,1.423547,-1.003404,-0.259363,0.368214,0.776167,-0.367182,-1.038476,0.647187,0.891186,-0.591208,0.92792,-0.202706,-0.640269,0.626639,0.110873,1.524541,-0.589882,-0.082609,1.526237,-1.362558,0.423915,0.151103,1.229783,-0.958471,0.475918,0.829096,-1.281057,-0.695072,91.36,0
27718.08,0.447368,0.266867,0.330955,0.819556,2.067302,-0.475752,-0.890415,1.364886,-1.295832,-0.484072,0.432021,1.096498,-0.140034,0.217545,0.813306,2.076725,1.764286,1.670452,-1.442648,-0.5977,0.024492,-1.008513,-0.593758,0.061935,0.286861,1.242095,0.201526,-0.130489,18.67,0
114668.06,-1.003896,0.193625,-2.414455,-0.944427,0.676415,1.124262,-0.527651,-0.105748,-1.747423,-1.522633,1.985254,0.341495,0.686816,-0.847708,0.361992,-2.277517,-0.576989,-0.38603,-0.503857,0.967514,0.369187,0.959182,0.719416,0.022198,-2.208103,0.86303,-0.891499,1.473578,1.9,0
95334.05,0.405908,0.108973,0.801755,0.64429,-0.456801,-0.645183,-0.950225,-0.817997,0.217374,-0.241004,-0.716981,0.143661,0.579471,0.244269,0.293045,0.325206,-1.369679,1.839046,0.494816,0.287017,0.627218,-0.76584,0.54665,-0.419928,-2.902554,-1.966905,-0.5209,-0.295473,10.36,0
132250.85,-1.850403,0.70105,-0.072814,1.185424,1.04239,0.223392,-1.024043,1.642426,1.433566,1.593644,-0.784153,0.071721,0.654325,0.626259,-0.359345,0.869582,-2.280506,-1.080359,-0.452863,2.067794,-0.651893,-1.03488,0.312302,0.500805,0.055634,1.200415,0.004123,0.898634,35.95,0
58201.78,-1.641566,0.455149,-0.226514,-0.053663,1.370325,0.463175,-0.137391,-0.603511,1.659338,-0.25903,1.157334,-0.044895,0.300388,-0.479541,0.710577,-0.273693,-0.481223,0.329497,-0.082676,1.739963,-0.779897,0.192755,-0.720733,-0.518846,-0.621245,0.364512,1.528866,-0.884832,11.97,0
52657.03,0.223445,-0.131455,0.306747,-0.448673,1.321017,1.477895,0.464329,0.419203,2.101213,-0.373895,0.757771,-0.896737,-0.530913,-0.819971,0.646362,1.227386,2.317666,2.90339,-0.294226,2.179104,0.756335,0.489964,1.594342,0.831581,-0.193653,-0.053854,0.068461,1.371216,16.68,0
164005.4,0.371993,-0.077209,0.763101,0.001946,-2.007488,-1.388838,-0.249305,1.763283,-0.828479,1.348824,-1.470323,-0.25615,-0.838712,0.197479,0.351898,0.732412,1.919706,0.465451,-0.980985,-1.90737,-0.122795,-1.087717,0.386358,0.879182,-0.630342,-0.467556,0.264794,0.1794,42.08,0
30257.18,-1.705982,-0.236176,-0.127306,-1.058541,-0.093683,-0.77222,0.58345,-1.190997,-1.159571,-0.021101,0.019492,-1.587146,-0.0436,1.277754,0.348644,0.236342,0.319234,-0.70679,-1.775627,-2.371328,-0.223658,-1.816415,1.813207,2.083245,1.150692,0.468363,0.193908,-0.409188,9.24,0
74888.92,-0.395372,1.219586,-0.152568,2.281834,1.304833,-0.408662,0.024828,0.605167,-0.654277,-0.013165,-1.159271,-0.209144,0.54935,0.489092,1.626078,0.191062,1.391317,-0.037512,1.296739,0.014719,-0.105911,0.032652,-0.052451,0.275075,-1.233116,1.067472,-0.737811,-0.56283,29.7,0
81614.21,0.097095,0.791222,0.313942,0.287935,0.035461,-0.530963,-2.764704,-2.368759,-0.25433,-0.30548,-1.432843,0.758416,-1.664893,0.233391,-0.619541,-2.080088,-0.234328,-0.052434,-0.065561,-0.692176,-0.674922,0.554237,-2.002776,-1.716118,-1.604092,0.369457,-1.78091,1.86082,28.66,0
77450.16,1.125993,1.524149,-0.093341,0.733712,-0.137299,0.950939,-1.949266,0.122321,0.448687,0.765011,0.649637,0.62963,0.89918,-0.348275,-0.028214,0.130195,-0.791921,0.578231,-0.086659,-0.640545,-0.094769,-2.729698,-0.745553,-0.788436,-2.054075,-0.732487,0.642206,0.352582,14.63,0
103143.7,-0.089021,1.183145,0.392605,-0.970486,0.296209,-0.408406,-0.15252,0.833747,0.633145,-1.422363,-0.052708,-0.033166,-1.357484,-2.442306,-1.624179,1.070466,0.289433,0.053721,-0.921901,-0.263482,0.634994,-0.806114,1.49017,0.806188,0.523498,0.548835,0.756684,-0.592188,7.46,0
159561.83,-0.322616,-1.149623,1.330845,-0.808097,0.106901,0.05241,0.049527,-0.317532,0.648691,1.259896,-0.125974,0.130059,-0.352727,0.862369,1.443935,1.672736,-1.082467,0.972313,-0.66554,-1.237294,-0.171463,-1.540556,0.49373,0.132463,-0.17464,-0.801723,-0.530028,-0.278602,74.73,0
100356.22,-0.133813,0.127137,0.523072,-0.219275,-0.366724,-1.154173,0.848277,0.372086,-0.534062,0.011312,0.870625,3.668201,2.172601,-0.167346,-1.510511,1.28332,1.62524,-0.9422,-1.197268,-0.376657,-0.446513,1.456009,0.584502,0.588249,1.190766,0.673685,1.942564,1.320289,4.86,0
40879.1,1.78313,-1.031098,-0.054222,-0.511136,-0.813174,-0.394545,1.758818,1.309753,0.235854,-1.456588,0.110198,-0.464744,-0.904859,0.767838,-1.165351,0.025137,0.505543,0.722347,-1.04603,1.467068,0.097181,-0.067134,-1.331092,-1.046573,-0.56819,-0.088322,0.418561,-0.380146,10.84,0
146572.6,0.569542,1.229561,0.318686,-0.715733,0.434779,-1.458907,-1.662543,0.977645,-0.720007,0.478862,0.22282,0.020311,-1.583709,-0.427889,-0.109095,2.241308,0.35435,0.953355,1.146005,0.450217,0.161062,0.210835,0.548881,-0.02996,-1.459813,2.130859,-0.174143,-0.69387,65.46,0
94842.3,0.581719,0.774306,-0.352552,0.327196,1.032284,1.226225,-1.414767,-0.642598,-0.825124,0.85706,-0.158676,-2.30644,1.116741,1.227114,1.367337,0.385031,-1.603765,-0.501282,-0.680388,-0.700382,1.418396,1.08787,0.35658,-0.405315,-0.631725,-0.603288,-0.154413,0.023783,53.71,0
72216.87,-0.646696,-0.948376,-2.748466,-2.441787,-0.036022,1.037827,-0.880475,2.412615,0.057316,0.854013,0.096155,1.158053,-0.269788,-0.614728,0.559616,-0.484015,-0.772158,0.674078,-0.221254,-1.073432,-0.664817,-0.224189,-1.369251,-1.410136,-0.155122,0.663885,0.041337,0.239663,144.91,0
89544.94,1.913746,1.74856,-0.916729,0.032603,0.580919,-0.098101,-0.122953,0.73681,-1.51311,-0.736009,2.225394,1.804234,0.975314,1.058715,-0.922937,-0.945653,-1.545435,-1.180306,0.151493,1.283801,1.064673,-0.805586,-0.676308,-0.888559,-0.159819,-0.195889,-0.127942,0.732381,64.63,0
22585.02,1.337859,-1.463013,-0.058267,-1.657038,-0.255133,-0.065799,-0.199119,0.560112,-2.114749,0.686555,-0.447878,-1.325438,-0.771613,0.871856,-0.991206,-0.816984,0.933572,0.553191,-2.528757,-0.700498,-0.536527,1.226214,-0.051452,-0.737211,-1.530255,-1.372171,-3.599144,0.394867,8.64,0
